COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|24|0|24|24|0|0|0|0|0
01|M|18 a 20 años|792|1|792|43|779|0|0|0|1
01|M|21 a 24 años|3178|0|3178|90|3174|5|0|0|0
01|M|25 a 29 años|4932|0|4932|172|4915|29|5|0|0
01|M|30 a 34 años|5299|0|5299|369|5274|41|19|0|0
01|M|35 a 39 años|6682|0|6682|588|6654|45|34|0|0
01|M|40 a 44 años|8844|0|8844|962|8815|68|75|0|0
01|M|45 a 49 años|11499|0|11499|1411|11448|153|109|0|0
01|M|50 a 54 años|11104|0|11104|1528|11041|94|95|0|0
01|M|55 a 59 años|9610|0|9610|909|9535|76|60|0|0
01|M|60 a 64 años|8290|0|8290|602|8232|45|34|0|0
01|M|65 a 69 años|6555|0|6555|394|6509|8|5|0|0
01|M|70 a 74 años|3887|1|3887|235|3832|2|1|0|1
01|M|Más de 74 años|2952|0|2952|357|2797|2|2|0|0
01|V|15 a 17 años|105|12|116|105|0|0|0|0|12
01|V|18 a 20 años|1529|4|1532|241|1478|1|0|0|4
01|V|21 a 24 años|4381|1|4382|492|4360|80|4|0|1
01|V|25 a 29 años|6084|0|6084|897|6050|236|29|0|0
01|V|30 a 34 años|6766|0|6766|1568|6712|338|63|0|0
01|V|35 a 39 años|7937|0|7937|2505|7889|569|178|0|0
01|V|40 a 44 años|10122|0|10122|3353|10086|914|348|0|0
01|V|45 a 49 años|12513|0|12513|4535|12390|1257|468|0|0
01|V|50 a 54 años|12991|0|12991|4859|12820|1629|756|0|0
01|V|55 a 59 años|11925|0|11925|3897|11793|1715|905|0|0
01|V|60 a 64 años|10621|1|10621|3568|10512|1505|725|0|1
01|V|65 a 69 años|9084|0|9084|3344|8976|642|320|0|0
01|V|70 a 74 años|7410|0|7410|2597|7290|218|112|0|0
01|V|Más de 74 años|11832|1|11832|6266|10620|84|35|0|1
02|M|15 a 17 años|58|0|58|58|0|0|0|0|0
02|M|18 a 20 años|1456|0|1456|121|1422|3|0|0|0
02|M|21 a 24 años|4950|0|4950|188|4936|23|0|0|0
02|M|25 a 29 años|7465|0|7465|339|7455|56|1|0|0
02|M|30 a 34 años|8366|0|8366|1026|8334|73|6|0|0
02|M|35 a 39 años|9479|0|9479|1750|9439|90|16|0|0
02|M|40 a 44 años|10857|0|10857|2724|10790|165|40|0|0
02|M|45 a 49 años|13354|0|13354|3458|13177|267|75|0|0
02|M|50 a 54 años|12648|0|12648|3434|12370|150|55|0|0
