COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|24|0|24|24|0|0|0|0|0
01|M|18 a 20 años|785|0|785|44|773|0|0|0|0
01|M|21 a 24 años|3187|0|3187|89|3182|5|0|0|0
01|M|25 a 29 años|4949|0|4949|178|4932|30|5|0|0
01|M|30 a 34 años|5315|0|5315|365|5288|40|19|0|0
01|M|35 a 39 años|6609|0|6609|581|6580|43|31|0|0
01|M|40 a 44 años|8800|0|8800|954|8771|68|78|0|0
01|M|45 a 49 años|11461|0|11461|1406|11411|151|109|0|0
01|M|50 a 54 años|11113|0|11113|1538|11050|97|95|0|0
01|M|55 a 59 años|9618|0|9618|915|9543|75|62|0|0
01|M|60 a 64 años|8291|0|8291|601|8232|44|33|0|0
01|M|65 a 69 años|6577|0|6577|396|6531|8|5|0|0
01|M|70 a 74 años|3907|0|3907|233|3856|2|1|0|0
01|M|Más de 74 años|2957|0|2957|363|2799|2|2|0|0
01|V|15 a 17 años|106|11|116|106|0|0|0|0|11
01|V|18 a 20 años|1529|5|1533|238|1480|0|0|0|5
01|V|21 a 24 años|4384|1|4385|489|4362|81|3|0|1
01|V|25 a 29 años|6086|0|6086|897|6053|232|30|0|0
01|V|30 a 34 años|6782|0|6782|1560|6727|338|65|0|0
01|V|35 a 39 años|7919|0|7919|2489|7873|572|172|0|0
01|V|40 a 44 años|10061|0|10061|3331|10024|903|343|0|0
01|V|45 a 49 años|12505|0|12505|4534|12383|1243|469|0|0
01|V|50 a 54 años|12973|0|12973|4852|12804|1610|742|0|0
01|V|55 a 59 años|11934|0|11934|3899|11802|1708|896|0|0
01|V|60 a 64 años|10637|1|10637|3574|10528|1504|727|0|1
01|V|65 a 69 años|9092|0|9092|3340|8982|632|314|0|0
01|V|70 a 74 años|7405|0|7405|2590|7290|217|112|0|0
01|V|Más de 74 años|11888|1|11888|6296|10671|90|40|0|1
02|M|15 a 17 años|59|0|59|59|0|0|0|0|0
02|M|18 a 20 años|1432|0|1432|122|1399|3|0|0|0
02|M|21 a 24 años|4928|0|4928|193|4914|22|0|0|0
02|M|25 a 29 años|7451|0|7451|334|7441|58|1|0|0
02|M|30 a 34 años|8321|0|8321|1007|8290|70|6|0|0
02|M|35 a 39 años|9493|0|9493|1753|9452|95|16|0|0
02|M|40 a 44 años|10766|0|10766|2683|10703|162|38|0|0
02|M|45 a 49 años|13343|0|13343|3452|13168|265|73|0|0
02|M|50 a 54 años|12639|0|12639|3443|12363|153|55|0|0
02|M|55 a 59 años|11584|0|11584|2313|11315|88|51|0|0
