COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
01|M|15 a 17 años|18|0|18|18|0|0|0|0|0
01|M|18 a 20 años|744|0|744|50|728|0|0|0|0
01|M|21 a 24 años|3179|0|3179|87|3175|7|0|0|0
01|M|25 a 29 años|4954|0|4954|178|4938|25|5|0|0
01|M|30 a 34 años|5275|0|5275|350|5250|41|19|0|0
01|M|35 a 39 años|6536|0|6536|593|6502|43|31|0|0
01|M|40 a 44 años|8646|0|8646|909|8620|65|77|0|0
01|M|45 a 49 años|11280|0|11280|1358|11231|151|108|0|0
01|M|50 a 54 años|11138|0|11138|1566|11076|95|96|0|0
01|M|55 a 59 años|9640|0|9640|928|9568|77|59|0|0
01|M|60 a 64 años|8354|0|8354|621|8292|45|36|0|0
01|M|65 a 69 años|6714|0|6714|406|6671|8|6|0|0
01|M|70 a 74 años|4001|0|4001|243|3950|2|1|0|0
01|M|Más de 74 años|3055|0|3055|363|2896|1|1|0|0
01|V|15 a 17 años|105|13|116|105|0|0|0|0|13
01|V|18 a 20 años|1466|5|1470|236|1411|0|0|0|5
01|V|21 a 24 años|4388|0|4388|484|4371|73|4|0|0
01|V|25 a 29 años|6136|1|6137|919|6099|239|34|0|1
01|V|30 a 34 años|6801|0|6801|1501|6748|315|59|0|0
01|V|35 a 39 años|7810|0|7810|2449|7758|551|169|0|0
01|V|40 a 44 años|9906|0|9906|3257|9872|885|337|0|0
01|V|45 a 49 años|12315|0|12315|4472|12200|1205|447|0|0
01|V|50 a 54 años|13032|0|13032|4891|12865|1585|723|0|0
01|V|55 a 59 años|11989|0|11989|3928|11853|1721|904|0|0
01|V|60 a 64 años|10729|1|10729|3578|10623|1465|725|0|1
01|V|65 a 69 años|9082|0|9082|3321|8972|661|309|0|0
01|V|70 a 74 años|7495|0|7495|2623|7385|226|121|0|0
01|V|Más de 74 años|12062|1|12062|6311|10839|93|41|0|1
02|M|15 a 17 años|48|0|48|48|0|0|0|0|0
02|M|18 a 20 años|1419|0|1419|124|1378|2|0|0|0
02|M|21 a 24 años|4907|0|4907|199|4895|20|0|0|0
02|M|25 a 29 años|7443|0|7443|318|7432|57|5|0|0
02|M|30 a 34 años|8184|0|8184|933|8157|68|8|0|0
02|M|35 a 39 años|9500|0|9500|1730|9458|97|16|0|0
02|M|40 a 44 años|10542|0|10542|2597|10486|161|36|0|0
02|M|45 a 49 años|13131|0|13131|3384|12956|253|69|0|0
02|M|50 a 54 años|12749|0|12749|3493|12486|174|62|0|0
02|M|55 a 59 años|11621|0|11621|2345|11350|92|46|0|0
02|M|60 a 64 años|9625|0|9625|1639|9328|32|19|0|0
02|M|65 a 69 años|6812|0|6812|1000|6583|12|7|0|0
02|M|70 a 74 años|3364|0|3364|394|3198|5|1|0|0
02|M|Más de 74 años|2273|0|2273|387|2021|1|1|0|0
02|V|15 a 17 años|439|4|440|439|0|0|0|0|4
02|V|18 a 20 años|3073|4|3074|755|2874|8|0|0|4
02|V|21 a 24 años|6628|1|6629|1212|6558|235|3|0|1
02|V|25 a 29 años|9435|0|9435|1802|9404|599|45|0|0
02|V|30 a 34 años|9843|0|9843|3494|9799|952|70|0|0
02|V|35 a 39 años|10998|0|10998|5643|10924|1342|134|0|0
02|V|40 a 44 años|11488|0|11488|6564|11413|1839|282|0|0
02|V|45 a 49 años|13294|1|13294|7780|13019|2432|459|0|1
02|V|50 a 54 años|13828|1|13828|8599|13436|2620|1038|0|1
02|V|55 a 59 años|14182|3|14182|7725|13767|2635|1256|0|3
02|V|60 a 64 años|13469|4|13469|7844|13017|2376|1159|0|4
02|V|65 a 69 años|11371|15|11371|7414|10940|898|364|0|15
02|V|70 a 74 años|7681|11|7681|5516|7258|234|125|0|11
02|V|Más de 74 años|15140|52|15140|13288|10481|98|38|0|52
03|M|15 a 17 años|1170|0|1170|1170|0|0|0|0|0
03|M|18 a 20 años|8727|0|8727|2145|7624|2|0|0|0
03|M|21 a 24 años|23429|0|23429|2479|23072|33|3|0|0
03|M|25 a 29 años|33172|0|33172|2701|32968|102|22|0|0
03|M|30 a 34 años|37288|0|37288|5563|37016|137|40|0|0
03|M|35 a 39 años|44111|0|44111|10475|43730|192|77|0|0
03|M|40 a 44 años|50619|0|50619|14959|50148|259|132|0|0
03|M|45 a 49 años|61094|0|61094|20701|59908|425|199|0|0
